source_system,external_receivable_id,external_customer_id,customer_name,customer_email,description,amount_brl,due_date
erp_ficticio_v1,TIT-0015,CLI-015,Empório Nuvem 015 (fictício),cliente015@example.com,Mercadorias fictícias • pedido 0015,5349.03,2026-08-09
erp_ficticio_v1,TIT-0016,CLI-016,Empório Ipê 016 (fictício),cliente016@example.com,Mercadorias fictícias • pedido 0016,328.24,2026-08-10
erp_ficticio_v1,TIT-0017,CLI-017,Empório Aurora 017 (fictício),cliente017@example.com,Mercadorias fictícias • pedido 0017,2134.96,2026-08-14
erp_ficticio_v1,TIT-0018,CLI-018,Empório Jardim 018 (fictício),cliente018@example.com,Mercadorias fictícias • pedido 0018,4448.98,2026-08-16
erp_ficticio_v1,TIT-0019,CLI-019,Empório Horizonte 019 (fictício),cliente019@example.com,Mercadorias fictícias • pedido 0019,2361.48,2026-08-17
erp_ficticio_v1,TIT-0020,CLI-020,Empório Brisa 020 (fictício),cliente020@example.com,Mercadorias fictícias • pedido 0020,4760.29,2026-08-18
erp_ficticio_v1,TIT-0021,CLI-021,Empório Cedro 021 (fictício),cliente021@example.com,Mercadorias fictícias • pedido 0021,2967.04,2026-08-20
erp_ficticio_v1,TIT-0022,CLI-022,Empório Luar 022 (fictício),cliente022@example.com,Mercadorias fictícias • pedido 0022,118.14,2026-08-24
erp_ficticio_v1,TIT-0023,CLI-023,Empório Nuvem 023 (fictício),cliente023@example.com,Mercadorias fictícias • pedido 0023,1724.14,2026-09-01
erp_ficticio_v1,TIT-0024,CLI-024,Empório Ipê 024 (fictício),cliente024@example.com,Mercadorias fictícias • pedido 0024,4481.43,2026-09-16
erp_ficticio_v1,TIT-0025,CLI-025,Empório Aurora 025 (fictício),cliente025@example.com,Mercadorias fictícias • pedido 0025,3617.78,2026-07-18
erp_ficticio_v1,TIT-0026,CLI-026,Empório Jardim 026 (fictício),cliente026@example.com,Mercadorias fictícias • pedido 0026,2963.69,2026-08-02
erp_ficticio_v1,TIT-0027,CLI-027,Empório Horizonte 027 (fictício),cliente027@example.com,Mercadorias fictícias • pedido 0027,1680.32,2026-08-09
erp_ficticio_v1,TIT-0028,CLI-028,Empório Brisa 028 (fictício),cliente028@example.com,Mercadorias fictícias • pedido 0028,2307.72,2026-08-10
erp_ficticio_v1,TIT-0029,CLI-029,Empório Cedro 029 (fictício),cliente029@example.com,Mercadorias fictícias • pedido 0029,3579.44,2026-08-14
erp_ficticio_v1,TIT-0030,CLI-030,Empório Luar 030 (fictício),cliente030@example.com,Mercadorias fictícias • pedido 0030,1121.75,2026-08-16
erp_ficticio_v1,TIT-0031,CLI-031,Empório Nuvem 031 (fictício),cliente031@example.com,Mercadorias fictícias • pedido 0031,1022.51,2026-08-17
erp_ficticio_v1,TIT-0032,CLI-032,Empório Ipê 032 (fictício),cliente032@example.com,Mercadorias fictícias • pedido 0032,4033.82,2026-08-18
erp_ficticio_v1,TIT-0033,CLI-033,Empório Aurora 033 (fictício),cliente033@example.com,Mercadorias fictícias • pedido 0033,1064.14,2026-08-20
erp_ficticio_v1,TIT-0034,CLI-034,Empório Jardim 034 (fictício),cliente034@example.com,Mercadorias fictícias • pedido 0034,3814.17,2026-08-24
erp_ficticio_v1,TIT-0035,CLI-035,Empório Horizonte 035 (fictício),cliente035@example.com,Mercadorias fictícias • pedido 0035,3656.63,2026-09-01
erp_ficticio_v1,TIT-0036,CLI-036,Empório Brisa 036 (fictício),cliente036@example.com,Mercadorias fictícias • pedido 0036,2823.70,2026-09-16
erp_ficticio_v1,TIT-0037,CLI-037,Empório Cedro 037 (fictício),cliente037@example.com,Mercadorias fictícias • pedido 0037,505.61,2026-07-18
erp_ficticio_v1,TIT-0038,CLI-038,Empório Luar 038 (fictício),cliente038@example.com,Mercadorias fictícias • pedido 0038,4867.41,2026-08-02
erp_ficticio_v1,TIT-0039,CLI-039,Empório Nuvem 039 (fictício),cliente039@example.com,Mercadorias fictícias • pedido 0039,1358.89,2026-08-09
erp_ficticio_v1,TIT-0040,CLI-040,Empório Ipê 040 (fictício),cliente040@example.com,Mercadorias fictícias • pedido 0040,4019.22,2026-08-10
erp_ficticio_v1,TIT-0041,CLI-041,Empório Aurora 041 (fictício),cliente041@example.com,Mercadorias fictícias • pedido 0041,876.27,2026-08-14
erp_ficticio_v1,TIT-0042,CLI-042,Empório Jardim 042 (fictício),cliente042@example.com,Mercadorias fictícias • pedido 0042,3124.19,2026-08-16
erp_ficticio_v1,TIT-0043,CLI-043,Empório Horizonte 043 (fictício),cliente043@example.com,Mercadorias fictícias • pedido 0043,3842.01,2026-08-17
erp_ficticio_v1,TIT-0044,CLI-044,Empório Brisa 044 (fictício),cliente044@example.com,Mercadorias fictícias • pedido 0044,2066.29,2026-08-18
erp_ficticio_v1,TIT-0045,CLI-045,Empório Cedro 045 (fictício),cliente045@example.com,Mercadorias fictícias • pedido 0045,779.33,2026-08-20
erp_ficticio_v1,TIT-0046,CLI-046,Empório Luar 046 (fictício),cliente046@example.com,Mercadorias fictícias • pedido 0046,530.50,2026-08-24
erp_ficticio_v1,TIT-0047,CLI-047,Empório Nuvem 047 (fictício),cliente047@example.com,Mercadorias fictícias • pedido 0047,2439.68,2026-09-01
erp_ficticio_v1,TIT-0048,CLI-048,Empório Ipê 048 (fictício),cliente048@example.com,Mercadorias fictícias • pedido 0048,3084.45,2026-09-16
erp_ficticio_v1,TIT-0049,CLI-049,Empório Aurora 049 (fictício),cliente049@example.com,Mercadorias fictícias • pedido 0049,886.67,2026-07-18
erp_ficticio_v1,TIT-0050,CLI-050,Empório Jardim 050 (fictício),cliente050@example.com,Mercadorias fictícias • pedido 0050,2490.98,2026-08-02
erp_ficticio_v1,TIT-0051,CLI-051,Empório Horizonte 051 (fictício),cliente051@example.com,Mercadorias fictícias • pedido 0051,1109.07,2026-08-09
erp_ficticio_v1,TIT-0052,CLI-052,Empório Brisa 052 (fictício),cliente052@example.com,Mercadorias fictícias • pedido 0052,4035.91,2026-08-10
erp_ficticio_v1,TIT-0053,CLI-053,Empório Cedro 053 (fictício),cliente053@example.com,Mercadorias fictícias • pedido 0053,2964.76,2026-08-14
erp_ficticio_v1,TIT-0054,CLI-054,Empório Luar 054 (fictício),cliente054@example.com,Mercadorias fictícias • pedido 0054,4804.35,2026-08-16
erp_ficticio_v1,TIT-0055,CLI-055,Empório Nuvem 055 (fictício),cliente055@example.com,Mercadorias fictícias • pedido 0055,3875.54,2026-08-17
erp_ficticio_v1,TIT-0056,CLI-056,Empório Ipê 056 (fictício),cliente056@example.com,Mercadorias fictícias • pedido 0056,1755.55,2026-08-18
erp_ficticio_v1,TIT-0057,CLI-057,Empório Aurora 057 (fictício),cliente057@example.com,Mercadorias fictícias • pedido 0057,3931.62,2026-08-20
erp_ficticio_v1,TIT-0058,CLI-058,Empório Jardim 058 (fictício),cliente058@example.com,Mercadorias fictícias • pedido 0058,3775.28,2026-08-24
erp_ficticio_v1,TIT-0059,CLI-059,Empório Horizonte 059 (fictício),cliente059@example.com,Mercadorias fictícias • pedido 0059,2246.84,2026-09-01
erp_ficticio_v1,TIT-0060,CLI-060,Empório Brisa 060 (fictício),cliente060@example.com,Mercadorias fictícias • pedido 0060,2849.46,2026-09-16
erp_ficticio_v1,TIT-0061,CLI-001,Empório Aurora 001 (fictício),cliente001@example.com,Mercadorias fictícias • pedido 0061,798.70,2026-07-18
erp_ficticio_v1,TIT-0062,CLI-002,Empório Jardim 002 (fictício),cliente002@example.com,Mercadorias fictícias • pedido 0062,1844.51,2026-08-02
erp_ficticio_v1,TIT-0063,CLI-003,Empório Horizonte 003 (fictício),cliente003@example.com,Mercadorias fictícias • pedido 0063,2617.02,2026-08-09
erp_ficticio_v1,TIT-0064,CLI-004,Empório Brisa 004 (fictício),cliente004@example.com,Mercadorias fictícias • pedido 0064,1763.39,2026-08-10
erp_ficticio_v1,TIT-0065,CLI-005,Empório Cedro 005 (fictício),cliente005@example.com,Mercadorias fictícias • pedido 0065,4897.14,2026-08-14
erp_ficticio_v1,TIT-0066,CLI-006,Empório Luar 006 (fictício),cliente006@example.com,Mercadorias fictícias • pedido 0066,4028.87,2026-08-16
erp_ficticio_v1,TIT-0067,CLI-007,Empório Nuvem 007 (fictício),cliente007@example.com,Mercadorias fictícias • pedido 0067,2880.60,2026-08-17
erp_ficticio_v1,TIT-0068,CLI-008,Empório Ipê 008 (fictício),cliente008@example.com,Mercadorias fictícias • pedido 0068,2352.83,2026-08-18
erp_ficticio_v1,TIT-0069,CLI-009,Empório Aurora 009 (fictício),cliente009@example.com,Mercadorias fictícias • pedido 0069,3450.35,2026-08-20
erp_ficticio_v1,TIT-0070,CLI-010,Empório Jardim 010 (fictício),cliente010@example.com,Mercadorias fictícias • pedido 0070,636.55,2026-08-24
erp_ficticio_v1,TIT-0071,CLI-011,Empório Horizonte 011 (fictício),cliente011@example.com,Mercadorias fictícias • pedido 0071,2451.74,2026-09-01
erp_ficticio_v1,TIT-0072,CLI-012,Empório Brisa 012 (fictício),cliente012@example.com,Mercadorias fictícias • pedido 0072,386.59,2026-09-16
erp_ficticio_v1,TIT-0073,CLI-013,Empório Cedro 013 (fictício),cliente013@example.com,Mercadorias fictícias • pedido 0073,3357.76,2026-07-18
erp_ficticio_v1,TIT-0074,CLI-014,Empório Luar 014 (fictício),cliente014@example.com,Mercadorias fictícias • pedido 0074,4256.51,2026-08-02
erp_ficticio_v1,TIT-0075,CLI-015,Empório Nuvem 015 (fictício),cliente015@example.com,Mercadorias fictícias • pedido 0075,2857.46,2026-08-09
erp_ficticio_v1,TIT-0076,CLI-016,Empório Ipê 016 (fictício),cliente016@example.com,Mercadorias fictícias • pedido 0076,744.03,2026-08-10
erp_ficticio_v1,TIT-0077,CLI-017,Empório Aurora 017 (fictício),cliente017@example.com,Mercadorias fictícias • pedido 0077,2262.31,2026-08-14
erp_ficticio_v1,TIT-0078,CLI-018,Empório Jardim 018 (fictício),cliente018@example.com,Mercadorias fictícias • pedido 0078,3349.63,2026-08-16
erp_ficticio_v1,TIT-0079,CLI-019,Empório Horizonte 019 (fictício),cliente019@example.com,Mercadorias fictícias • pedido 0079,2279.55,2026-08-17
erp_ficticio_v1,TIT-0080,CLI-020,Empório Brisa 020 (fictício),cliente020@example.com,Mercadorias fictícias • pedido 0080,5284.81,2026-08-18
erp_ficticio_v1,TIT-0081,CLI-021,Empório Cedro 021 (fictício),cliente021@example.com,Mercadorias fictícias • pedido 0081,4198.50,2026-08-20
erp_ficticio_v1,TIT-0082,CLI-022,Empório Luar 022 (fictício),cliente022@example.com,Mercadorias fictícias • pedido 0082,4861.41,2026-08-24
erp_ficticio_v1,TIT-0083,CLI-023,Empório Nuvem 023 (fictício),cliente023@example.com,Mercadorias fictícias • pedido 0083,1548.11,2026-09-01
erp_ficticio_v1,TIT-0084,CLI-024,Empório Ipê 024 (fictício),cliente024@example.com,Mercadorias fictícias • pedido 0084,2827.46,2026-09-16
erp_ficticio_v1,TIT-0085,CLI-025,Empório Aurora 025 (fictício),cliente025@example.com,Mercadorias fictícias • pedido 0085,1514.13,2026-07-18
erp_ficticio_v1,TIT-0086,CLI-026,Empório Jardim 026 (fictício),cliente026@example.com,Mercadorias fictícias • pedido 0086,2636.07,2026-08-02
erp_ficticio_v1,TIT-0087,CLI-027,Empório Horizonte 027 (fictício),cliente027@example.com,Mercadorias fictícias • pedido 0087,2805.04,2026-08-09
erp_ficticio_v1,TIT-0088,CLI-028,Empório Brisa 028 (fictício),cliente028@example.com,Mercadorias fictícias • pedido 0088,4542.45,2026-08-10
erp_ficticio_v1,TIT-0089,CLI-029,Empório Cedro 029 (fictício),cliente029@example.com,Mercadorias fictícias • pedido 0089,4238.01,2026-08-14
erp_ficticio_v1,TIT-0090,CLI-030,Empório Luar 030 (fictício),cliente030@example.com,Mercadorias fictícias • pedido 0090,3845.80,2026-08-16
erp_ficticio_v1,TIT-0091,CLI-031,Empório Nuvem 031 (fictício),cliente031@example.com,Mercadorias fictícias • pedido 0091,2349.74,2026-08-17
erp_ficticio_v1,TIT-0092,CLI-032,Empório Ipê 032 (fictício),cliente032@example.com,Mercadorias fictícias • pedido 0092,1500.51,2026-08-18
erp_ficticio_v1,TIT-0093,CLI-033,Empório Aurora 033 (fictício),cliente033@example.com,Mercadorias fictícias • pedido 0093,5392.77,2026-08-20
erp_ficticio_v1,TIT-0094,CLI-034,Empório Jardim 034 (fictício),cliente034@example.com,Mercadorias fictícias • pedido 0094,5224.88,2026-08-24
erp_ficticio_v1,TIT-0095,CLI-035,Empório Horizonte 035 (fictício),cliente035@example.com,Mercadorias fictícias • pedido 0095,1003.25,2026-09-01
erp_ficticio_v1,TIT-0096,CLI-036,Empório Brisa 036 (fictício),cliente036@example.com,Mercadorias fictícias • pedido 0096,544.05,2026-09-16
erp_ficticio_v1,TIT-0097,CLI-037,Empório Cedro 037 (fictício),cliente037@example.com,Mercadorias fictícias • pedido 0097,1199.75,2026-07-18
erp_ficticio_v1,TIT-0098,CLI-038,Empório Luar 038 (fictício),cliente038@example.com,Mercadorias fictícias • pedido 0098,1652.65,2026-08-02
erp_ficticio_v1,TIT-0099,CLI-039,Empório Nuvem 039 (fictício),cliente039@example.com,Mercadorias fictícias • pedido 0099,1727.53,2026-08-09
erp_ficticio_v1,TIT-0100,CLI-040,Empório Ipê 040 (fictício),cliente040@example.com,Mercadorias fictícias • pedido 0100,4476.66,2026-08-10
erp_ficticio_v1,TIT-0101,CLI-041,Empório Aurora 041 (fictício),cliente041@example.com,Mercadorias fictícias • pedido 0101,716.13,2026-08-14
erp_ficticio_v1,TIT-0102,CLI-042,Empório Jardim 042 (fictício),cliente042@example.com,Mercadorias fictícias • pedido 0102,4084.57,2026-08-16
erp_ficticio_v1,TIT-0103,CLI-043,Empório Horizonte 043 (fictício),cliente043@example.com,Mercadorias fictícias • pedido 0103,4051.56,2026-08-17
erp_ficticio_v1,TIT-0104,CLI-044,Empório Brisa 044 (fictício),cliente044@example.com,Mercadorias fictícias • pedido 0104,4957.85,2026-08-18
erp_ficticio_v1,TIT-0105,CLI-045,Empório Cedro 045 (fictício),cliente045@example.com,Mercadorias fictícias • pedido 0105,2686.26,2026-08-20
erp_ficticio_v1,TIT-0106,CLI-046,Empório Luar 046 (fictício),cliente046@example.com,Mercadorias fictícias • pedido 0106,170.38,2026-08-24
erp_ficticio_v1,TIT-0107,CLI-047,Empório Nuvem 047 (fictício),cliente047@example.com,Mercadorias fictícias • pedido 0107,1251.16,2026-09-01
erp_ficticio_v1,TIT-0108,CLI-048,Empório Ipê 048 (fictício),cliente048@example.com,Mercadorias fictícias • pedido 0108,2847.86,2026-09-16
erp_ficticio_v1,TIT-0109,CLI-049,Empório Aurora 049 (fictício),cliente049@example.com,Mercadorias fictícias • pedido 0109,3616.99,2026-07-18
erp_ficticio_v1,TIT-0110,CLI-050,Empório Jardim 050 (fictício),cliente050@example.com,Mercadorias fictícias • pedido 0110,1219.70,2026-08-02
erp_ficticio_v1,TIT-0111,CLI-051,Empório Horizonte 051 (fictício),cliente051@example.com,Mercadorias fictícias • pedido 0111,3127.57,2026-08-09
erp_ficticio_v1,TIT-0112,CLI-052,Empório Brisa 052 (fictício),cliente052@example.com,Mercadorias fictícias • pedido 0112,4608.84,2026-08-10
erp_ficticio_v1,TIT-0113,CLI-053,Empório Cedro 053 (fictício),cliente053@example.com,Mercadorias fictícias • pedido 0113,1708.40,2026-08-14
erp_ficticio_v1,TIT-0114,CLI-054,Empório Luar 054 (fictício),cliente054@example.com,Mercadorias fictícias • pedido 0114,4807.63,2026-08-16
erp_ficticio_v1,TIT-0115,CLI-055,Empório Nuvem 055 (fictício),cliente055@example.com,Mercadorias fictícias • pedido 0115,84.02,2026-08-17
erp_ficticio_v1,TIT-0116,CLI-056,Empório Ipê 056 (fictício),cliente056@example.com,Mercadorias fictícias • pedido 0116,2811.83,2026-08-18
erp_ficticio_v1,TIT-0117,CLI-057,Empório Aurora 057 (fictício),cliente057@example.com,Mercadorias fictícias • pedido 0117,5299.02,2026-08-20
erp_ficticio_v1,TIT-0118,CLI-058,Empório Jardim 058 (fictício),cliente058@example.com,Mercadorias fictícias • pedido 0118,1923.30,2026-08-24
erp_ficticio_v1,TIT-0119,CLI-059,Empório Horizonte 059 (fictício),cliente059@example.com,Mercadorias fictícias • pedido 0119,5373.42,2026-09-01
erp_ficticio_v1,TIT-0120,CLI-060,Empório Brisa 060 (fictício),cliente060@example.com,Mercadorias fictícias • pedido 0120,1165.79,2026-09-16
erp_ficticio_v1,TIT-0121,CLI-001,Empório Aurora 001 (fictício),cliente001@example.com,Mercadorias fictícias • pedido 0121,3179.42,2026-07-18
erp_ficticio_v1,TIT-0122,CLI-002,Empório Jardim 002 (fictício),cliente002@example.com,Mercadorias fictícias • pedido 0122,5373.23,2026-08-02
erp_ficticio_v1,TIT-0123,CLI-003,Empório Horizonte 003 (fictício),cliente003@example.com,Mercadorias fictícias • pedido 0123,2135.73,2026-08-09
erp_ficticio_v1,TIT-0124,CLI-004,Empório Brisa 004 (fictício),cliente004@example.com,Mercadorias fictícias • pedido 0124,1652.63,2026-08-10
erp_ficticio_v1,TIT-0125,CLI-005,Empório Cedro 005 (fictício),cliente005@example.com,Mercadorias fictícias • pedido 0125,3970.77,2026-08-14
erp_ficticio_v1,TIT-0126,CLI-006,Empório Luar 006 (fictício),cliente006@example.com,Mercadorias fictícias • pedido 0126,1743.96,2026-08-16
erp_ficticio_v1,TIT-0127,CLI-007,Empório Nuvem 007 (fictício),cliente007@example.com,Mercadorias fictícias • pedido 0127,55.99,2026-08-17
erp_ficticio_v1,TIT-0128,CLI-008,Empório Ipê 008 (fictício),cliente008@example.com,Mercadorias fictícias • pedido 0128,3449.02,2026-08-18
erp_ficticio_v1,TIT-0129,CLI-009,Empório Aurora 009 (fictício),cliente009@example.com,Mercadorias fictícias • pedido 0129,5173.40,2026-08-20
erp_ficticio_v1,TIT-0130,CLI-010,Empório Jardim 010 (fictício),cliente010@example.com,Mercadorias fictícias • pedido 0130,254.22,2026-08-24
erp_ficticio_v1,TIT-0131,CLI-011,Empório Horizonte 011 (fictício),cliente011@example.com,Mercadorias fictícias • pedido 0131,1223.01,2026-09-01
erp_ficticio_v1,TIT-0132,CLI-012,Empório Brisa 012 (fictício),cliente012@example.com,Mercadorias fictícias • pedido 0132,3856.12,2026-09-16
erp_ficticio_v1,TIT-0133,CLI-013,Empório Cedro 013 (fictício),cliente013@example.com,Mercadorias fictícias • pedido 0133,3274.51,2026-07-18
erp_ficticio_v1,TIT-0134,CLI-014,Empório Luar 014 (fictício),cliente014@example.com,Mercadorias fictícias • pedido 0134,2560.83,2026-08-02
erp_ficticio_v1,TIT-0135,CLI-015,Empório Nuvem 015 (fictício),cliente015@example.com,Mercadorias fictícias • pedido 0135,657.38,2026-08-09
erp_ficticio_v1,TIT-0136,CLI-016,Empório Ipê 016 (fictício),cliente016@example.com,Mercadorias fictícias • pedido 0136,2575.72,2026-08-10
erp_ficticio_v1,TIT-0137,CLI-017,Empório Aurora 017 (fictício),cliente017@example.com,Mercadorias fictícias • pedido 0137,875.82,2026-08-14
erp_ficticio_v1,TIT-0138,CLI-018,Empório Jardim 018 (fictício),cliente018@example.com,Mercadorias fictícias • pedido 0138,948.14,2026-08-16
erp_ficticio_v1,TIT-0139,CLI-019,Empório Horizonte 019 (fictício),cliente019@example.com,Mercadorias fictícias • pedido 0139,5145.97,2026-08-17
erp_ficticio_v1,TIT-0140,CLI-020,Empório Brisa 020 (fictício),cliente020@example.com,Mercadorias fictícias • pedido 0140,775.74,2026-08-18
erp_ficticio_v1,TIT-0141,CLI-021,Empório Cedro 021 (fictício),cliente021@example.com,Mercadorias fictícias • pedido 0141,1368.69,2026-08-20
erp_ficticio_v1,TIT-0142,CLI-022,Empório Luar 022 (fictício),cliente022@example.com,Mercadorias fictícias • pedido 0142,1396.28,2026-08-24
erp_ficticio_v1,TIT-0143,CLI-023,Empório Nuvem 023 (fictício),cliente023@example.com,Mercadorias fictícias • pedido 0143,5033.69,2026-09-01
erp_ficticio_v1,TIT-0144,CLI-024,Empório Ipê 024 (fictício),cliente024@example.com,Mercadorias fictícias • pedido 0144,1781.48,2026-09-16
erp_ficticio_v1,TIT-0145,CLI-025,Empório Aurora 025 (fictício),cliente025@example.com,Mercadorias fictícias • pedido 0145,2829.32,2026-07-18
erp_ficticio_v1,TIT-0146,CLI-026,Empório Jardim 026 (fictício),cliente026@example.com,Mercadorias fictícias • pedido 0146,4486.92,2026-08-02
erp_ficticio_v1,TIT-0147,CLI-027,Empório Horizonte 027 (fictício),cliente027@example.com,Mercadorias fictícias • pedido 0147,2270.86,2026-08-09
erp_ficticio_v1,TIT-0148,CLI-028,Empório Brisa 028 (fictício),cliente028@example.com,Mercadorias fictícias • pedido 0148,2159.22,2026-08-10
erp_ficticio_v1,TIT-0149,CLI-029,Empório Cedro 029 (fictício),cliente029@example.com,Mercadorias fictícias • pedido 0149,3318.58,2026-08-14
erp_ficticio_v1,TIT-0150,CLI-030,Empório Luar 030 (fictício),cliente030@example.com,Mercadorias fictícias • pedido 0150,4233.73,2026-08-16
erp_ficticio_v1,TIT-0151,CLI-031,Empório Nuvem 031 (fictício),cliente031@example.com,Mercadorias fictícias • pedido 0151,3965.59,2026-08-17
erp_ficticio_v1,TIT-0152,CLI-032,Empório Ipê 032 (fictício),cliente032@example.com,Mercadorias fictícias • pedido 0152,4643.81,2026-08-18
erp_ficticio_v1,TIT-0153,CLI-033,Empório Aurora 033 (fictício),cliente033@example.com,Mercadorias fictícias • pedido 0153,5477.17,2026-08-20
erp_ficticio_v1,TIT-0154,CLI-034,Empório Jardim 034 (fictício),cliente034@example.com,Mercadorias fictícias • pedido 0154,4784.17,2026-08-24
erp_ficticio_v1,TIT-0155,CLI-035,Empório Horizonte 035 (fictício),cliente035@example.com,Mercadorias fictícias • pedido 0155,1318.82,2026-09-01
erp_ficticio_v1,TIT-0156,CLI-036,Empório Brisa 036 (fictício),cliente036@example.com,Mercadorias fictícias • pedido 0156,2649.47,2026-09-16
erp_ficticio_v1,TIT-0157,CLI-037,Empório Cedro 037 (fictício),cliente037@example.com,Mercadorias fictícias • pedido 0157,2406.12,2026-07-18
erp_ficticio_v1,TIT-0158,CLI-038,Empório Luar 038 (fictício),cliente038@example.com,Mercadorias fictícias • pedido 0158,721.36,2026-08-02
erp_ficticio_v1,TIT-0159,CLI-039,Empório Nuvem 039 (fictício),cliente039@example.com,Mercadorias fictícias • pedido 0159,3595.08,2026-08-09
erp_ficticio_v1,TIT-0160,CLI-040,Empório Ipê 040 (fictício),cliente040@example.com,Mercadorias fictícias • pedido 0160,270.56,2026-08-10
erp_ficticio_v1,TIT-0161,CLI-041,Empório Aurora 041 (fictício),cliente041@example.com,Mercadorias fictícias • pedido 0161,2462.92,2026-08-14
erp_ficticio_v1,TIT-0162,CLI-042,Empório Jardim 042 (fictício),cliente042@example.com,Mercadorias fictícias • pedido 0162,2359.14,2026-08-16
erp_ficticio_v1,TIT-0163,CLI-043,Empório Horizonte 043 (fictício),cliente043@example.com,Mercadorias fictícias • pedido 0163,125.40,2026-08-17
erp_ficticio_v1,TIT-0164,CLI-044,Empório Brisa 044 (fictício),cliente044@example.com,Mercadorias fictícias • pedido 0164,794.41,2026-08-18
erp_ficticio_v1,TIT-0165,CLI-045,Empório Cedro 045 (fictício),cliente045@example.com,Mercadorias fictícias • pedido 0165,667.33,2026-08-20
erp_ficticio_v1,TIT-0166,CLI-046,Empório Luar 046 (fictício),cliente046@example.com,Mercadorias fictícias • pedido 0166,2450.62,2026-08-24
erp_ficticio_v1,TIT-0167,CLI-047,Empório Nuvem 047 (fictício),cliente047@example.com,Mercadorias fictícias • pedido 0167,756.74,2026-09-01
erp_ficticio_v1,TIT-0168,CLI-048,Empório Ipê 048 (fictício),cliente048@example.com,Mercadorias fictícias • pedido 0168,379.38,2026-09-16
erp_ficticio_v1,TIT-0169,CLI-049,Empório Aurora 049 (fictício),cliente049@example.com,Mercadorias fictícias • pedido 0169,3514.79,2026-07-18
erp_ficticio_v1,TIT-0170,CLI-050,Empório Jardim 050 (fictício),cliente050@example.com,Mercadorias fictícias • pedido 0170,792.99,2026-08-02
erp_ficticio_v1,TIT-0171,CLI-051,Empório Horizonte 051 (fictício),cliente051@example.com,Mercadorias fictícias • pedido 0171,5441.31,2026-08-09
erp_ficticio_v1,TIT-0172,CLI-052,Empório Brisa 052 (fictício),cliente052@example.com,Mercadorias fictícias • pedido 0172,2545.65,2026-08-10
erp_ficticio_v1,TIT-0173,CLI-053,Empório Cedro 053 (fictício),cliente053@example.com,Mercadorias fictícias • pedido 0173,2970.04,2026-08-14
erp_ficticio_v1,TIT-0174,CLI-054,Empório Luar 054 (fictício),cliente054@example.com,Mercadorias fictícias • pedido 0174,5139.93,2026-08-16
erp_ficticio_v1,TIT-0175,CLI-055,Empório Nuvem 055 (fictício),cliente055@example.com,Mercadorias fictícias • pedido 0175,2296.43,2026-08-17
erp_ficticio_v1,TIT-0176,CLI-056,Empório Ipê 056 (fictício),cliente056@example.com,Mercadorias fictícias • pedido 0176,1437.39,2026-08-18
erp_ficticio_v1,TIT-0177,CLI-057,Empório Aurora 057 (fictício),cliente057@example.com,Mercadorias fictícias • pedido 0177,5006.31,2026-08-20
erp_ficticio_v1,TIT-0178,CLI-058,Empório Jardim 058 (fictício),cliente058@example.com,Mercadorias fictícias • pedido 0178,2598.01,2026-08-24
